index,latency_ms
0,182.46
1,138.93
2,140.89
3,143.36
4,138.86
5,134.66
6,134.81
7,138.12
8,137.38
9,140.37
10,135.62
11,137.94
12,136.95
13,135.42
14,136.16
15,143.94
16,145.67
17,145.80
18,137.78
19,146.09
20,138.50
21,137.22
22,141.84
23,140.26
24,135.19
25,135.62
26,136.62
27,145.21
28,136.07
29,141.15
30,140.02
31,137.69
32,131.12
33,134.49
34,132.98
35,141.40
36,141.17
37,139.26
38,143.86
39,141.44
40,138.70
41,139.24
42,140.92
43,138.22
44,135.40
45,140.35
46,138.18
47,137.41
48,143.32
49,137.62
50,139.62
51,143.67
52,143.72
53,145.13
54,138.66
55,137.70
56,142.75
57,142.87
58,141.26
59,140.00
60,145.04
61,138.79
62,140.39
63,142.59
64,145.34
65,135.12
66,138.15
67,141.38
68,141.17
69,143.38
70,138.27
71,137.45
72,132.66
73,140.85
74,137.50
75,133.64
76,138.94
77,139.94
78,133.62
79,139.57
80,141.06
81,132.94
82,141.27
83,142.30
84,134.29
85,153.28
86,138.05
87,138.22
88,140.47
89,130.53
90,139.42
91,143.34
92,144.60
93,140.29
94,143.00
95,135.28
96,140.72
97,131.24
98,138.54
99,139.21
100,135.05
101,134.17
102,136.91
103,142.45
104,141.08
105,133.95
106,135.67
107,142.86
108,143.09
109,139.11
110,143.83
111,145.04
112,142.14
113,140.71
114,135.88
115,139.28
116,138.38
117,140.48
118,138.38
119,139.20
120,144.25
121,136.16
122,134.43
123,138.05
124,141.02
125,137.24
126,141.69
127,136.40
128,138.09
129,134.47
130,140.15
131,143.33
132,140.67
133,139.21
134,140.01
135,138.33
136,136.70
137,134.03
138,135.72
139,138.72
140,136.94
141,143.99
142,140.78
143,136.11
144,138.09
145,136.42
146,143.75
147,140.40
148,138.23
149,138.31
150,147.66
151,141.81
152,134.16
153,138.70
154,138.21
155,135.66
156,144.13
157,142.16
158,135.64
159,139.63
160,141.38
161,141.75
162,137.54
163,140.60
164,133.11
165,140.41
166,135.73
167,142.90
168,135.90
169,140.71
170,141.38
171,136.06
172,135.44
173,139.66
174,138.48
175,140.53
176,136.73
177,139.69
178,140.82
179,142.92
180,140.18
181,140.27
182,145.38
183,144.01
184,141.00
185,136.74
186,137.63
187,141.31
188,141.86
189,134.90
190,143.28
191,139.57
192,132.65
193,137.63
194,140.98
195,139.54
196,140.67
197,141.59
198,136.53
199,137.66
200,139.99
201,137.00
202,138.17
203,143.40
204,141.40
205,139.44
206,138.47
207,140.11
208,137.11
209,141.73
210,141.53
211,140.93
212,137.58
213,141.72
214,141.56
215,145.35
216,142.56
217,137.86
218,137.76
219,137.93
220,135.88
221,139.03
222,132.71
223,137.72
224,139.40
225,140.50
226,139.75
227,139.59
228,142.41
229,138.76
230,139.21
231,140.16
232,140.44
233,135.89
234,139.31
235,143.18
236,141.10
237,143.07
238,140.58
239,142.82
240,139.46
241,141.48
242,135.38
243,143.80
244,140.22
245,138.03
246,142.61
247,134.86
248,134.58
249,139.42
250,136.68
251,139.57
252,138.76
253,137.67
254,144.47
255,139.06
256,135.37
257,136.75
258,136.00
259,138.19
260,139.55
261,140.20
262,141.18
263,143.77
264,139.81
265,142.29
266,144.55
267,139.63
268,140.51
269,144.77
270,140.63
271,140.31
272,141.31
273,139.37
274,143.18
275,136.87
276,139.52
277,140.20
278,136.07
279,144.20
280,143.05
281,138.20
282,138.97
283,136.95
284,134.29
285,136.22
286,138.05
287,136.75
288,141.20
289,142.67
290,134.78
291,135.58
292,135.82
293,139.03
294,140.18
295,140.19
296,139.19
297,137.42
298,140.72
