tag,mode,frame,det_ms,nav_ms,total_ms,fps,objects
yolo11tiny_1.3.1,stress,0,0.01,0.01,0.03,38584.71,0
yolo11tiny_1.3.1,stress,1,0.01,0.01,0.02,54794.52,0
yolo11tiny_1.3.1,stress,2,0.01,0.01,0.02,50105.22,0
yolo11tiny_1.3.1,stress,3,0.01,0.01,0.02,53691.28,0
yolo11tiny_1.3.1,stress,4,0.01,0.01,0.02,65932.62,0
yolo11tiny_1.3.1,stress,5,0.01,0.01,0.02,65573.77,0
yolo11tiny_1.3.1,stress,6,0.01,0.01,0.02,61538.46,0
yolo11tiny_1.3.1,stress,7,0.01,0.01,0.02,57693.42,0
yolo11tiny_1.3.1,stress,8,0.01,0.01,0.02,51725.03,0
yolo11tiny_1.3.1,stress,9,0.01,0.01,0.02,47149.79,0
yolo11tiny_1.3.1,stress,10,0.01,0.01,0.02,46420.95,0
yolo11tiny_1.3.1,stress,11,0.01,0.01,0.03,36529.68,0
yolo11tiny_1.3.1,stress,12,0.01,0.01,0.02,48097.73,0
yolo11tiny_1.3.1,stress,13,0.01,0.01,0.02,65754.87,0
yolo11tiny_1.3.1,stress,14,0.01,0.01,0.02,62664.49,0
yolo11tiny_1.3.1,stress,15,0.01,0.01,0.01,67796.61,0
yolo11tiny_1.3.1,stress,16,0.01,0.01,0.02,64341.78,0
yolo11tiny_1.3.1,stress,17,0.01,0.01,0.02,52061.64,0
yolo11tiny_1.3.1,stress,18,0.01,0.01,0.02,46242.77,0
yolo11tiny_1.3.1,stress,19,0.01,0.01,0.02,47619.05,0
yolo11tiny_1.3.1,stress,20,0.01,0.01,0.02,43010.75,0
yolo11tiny_1.3.1,stress,21,0.01,0.01,0.02,58678.56,0
yolo11tiny_1.3.1,stress,22,0.01,0.02,0.02,40472.72,0
yolo11tiny_1.3.1,stress,23,0.01,0.01,0.02,52865.3,0
yolo11tiny_1.3.1,stress,24,0.01,0.01,0.02,55555.56,0
yolo11tiny_1.3.1,stress,25,0.01,0.01,0.02,53453.07,0
yolo11tiny_1.3.1,stress,26,0.01,0.01,0.02,64863.46,0
yolo11tiny_1.3.1,stress,27,0.01,0.01,0.02,58394.16,0
yolo11tiny_1.3.1,stress,28,0.01,0.01,0.02,46968.2,0
yolo11tiny_1.3.1,stress,29,0.01,0.01,0.03,39215.69,0
yolo11tiny_1.3.1,stress,30,0.01,0.01,0.02,45626.68,0
yolo11tiny_1.3.1,stress,31,0.01,0.01,0.03,37383.18,0
yolo11tiny_1.3.1,stress,32,0.01,0.01,0.03,37735.85,0
yolo11tiny_1.3.1,stress,33,0.01,0.02,0.03,32520.33,0
yolo11tiny_1.3.1,stress,34,0.01,0.02,0.03,32741.8,0
yolo11tiny_1.3.1,stress,35,0.02,0.03,0.05,18648.02,0
yolo11tiny_1.3.1,stress,36,0.02,0.03,0.05,21238.64,0
yolo11tiny_1.3.1,stress,37,0.02,0.03,0.06,17660.04,0
yolo11tiny_1.3.1,stress,38,0.02,0.02,0.05,21052.63,0
yolo11tiny_1.3.1,stress,39,0.01,0.02,0.03,29739.78,0
yolo11tiny_1.3.1,stress,40,0.01,0.02,0.03,32258.06,0
yolo11tiny_1.3.1,stress,41,0.04,0.03,0.07,13422.82,0
yolo11tiny_1.3.1,stress,42,0.02,0.02,0.05,21621.62,0
yolo11tiny_1.3.1,stress,43,0.02,0.02,0.04,25104.18,0
yolo11tiny_1.3.1,stress,44,0.02,0.02,0.04,24666.39,0
yolo11tiny_1.3.1,stress,45,0.02,0.02,0.04,23928.02,0
yolo11tiny_1.3.1,stress,46,0.01,0.02,0.03,29962.55,0
yolo11tiny_1.3.1,stress,47,0.02,0.04,0.06,17518.04,0
